locationLatitude,locationLongitude,locationAltitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05071383,-80.84344264,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05073915,-80.84349871,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.08152467,-80.85137166,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.08152467,-80.85137166,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05108179,-80.83988084,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.08383438,-80.85168215,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06032818,-80.84593982,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06040003,-80.84618312,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06033408,-80.84617935,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05668776,-80.81517588,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05757121,-80.82926226,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05757121,-80.82926226,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05757121,-80.82926226,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05757121,-80.82926226,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05757121,-80.82926226,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05855895,-80.84222704,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05855895,-80.84222704,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05855895,-80.84222704,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05855895,-80.84222704,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857848,-80.84248343,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857849,-80.84248352,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.05857849,-80.84248352,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06125746,-80.84673108,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06125746,-80.84673108,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06001464,-80.83364157,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.06389031,-80.86938186,199.7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
